model,augmentations,timestamp,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
Decision Tree,None,2023-12-11 14:28:08,0.9817088816392361,0.9111188926565016,0.9142496293098603,0.912597564009073,0.9816957589649826,0.9817088816392361,0.9816997136191801
Decision Tree,SMOTE-NC,2023-12-11 14:29:11,0.979538349557777,0.8735905729042206,0.9116461406124252,0.8816447619326795,0.980630486392466,0.979538349557777,0.9799360855549593
Decision Tree,RealTabFormer,2023-12-11 14:30:30,0.9780145260699492,0.8719233670025949,0.9097006073014601,0.8844675632050313,0.978821598630915,0.9780145260699492,0.9781445949245476
Decision Tree,GReaT,2023-12-11 14:31:47,0.9655856771065158,0.8002945916006952,0.870357311505154,0.7858515241212403,0.9808579220300383,0.9655856771065158,0.9725118957608732
